dep,insee,nb_inscrits,nb_votants,nb_exprimes,nbvoix_1,nbvoix_2,participation,voix_1,voix_2,com
2B,2B257,149,101,95,17,28,67.79,17.89,29.47,Pont-de-Buis-lès-Quimerch
2B,2B260,171,106,98,26,16,61.99,26.53,16.33,Pont-de-Buis-lès-Quimerch
2B,2B261,563,374,363,87,75,66.43,23.97,20.66,Pont-de-Buis-lès-Quimerch
2B,2B263,124,80,73,23,4,64.52,31.51,5.48,Pont-de-Buis-lès-Quimerch
2B,2B264,109,78,76,1,6,71.56,1.32,7.89,Pont-de-Buis-lès-Quimerch
2B,2B265,378,283,280,51,78,74.87,18.21,27.86,Pont-de-Buis-lès-Quimerch
2B,2B267,84,58,57,27,3,69.05,47.37,5.26,Pont-de-Buis-lès-Quimerch
2B,2B273,67,48,44,4,11,71.64,9.09,25.00,Pont-de-Buis-lès-Quimerch
2B,2B274,122,74,70,5,28,60.66,7.14,40.00,Pont-de-Buis-lès-Quimerch
2B,2B275,105,69,66,17,17,65.71,25.76,25.76,Pont-de-Buis-lès-Quimerch
2B,2B277,368,214,206,41,79,58.15,19.90,38.35,Pont-de-Buis-lès-Quimerch
2B,2B280,134,86,81,7,30,64.18,8.64,37.04,Pont-de-Buis-lès-Quimerch
2B,2B281,942,693,675,130,191,73.57,19.26,28.30,Pont-de-Buis-lès-Quimerch
2B,2B283,661,474,463,58,165,71.71,12.53,35.64,Pont-de-Buis-lès-Quimerch
2B,2B286,648,478,468,85,130,73.77,18.16,27.78,Pont-de-Buis-lès-Quimerch
2B,2B287,136,71,70,12,16,52.21,17.14,22.86,Pont-de-Buis-lès-Quimerch
2B,2B289,120,80,77,15,26,66.67,19.48,33.77,Pont-de-Buis-lès-Quimerch
2B,2B290,267,193,188,37,38,72.28,19.68,20.21,Pont-de-Buis-lès-Quimerch
2B,2B291,62,50,49,6,2,80.65,12.24,4.08,Pont-de-Buis-lès-Quimerch
2B,2B292,100,62,62,12,13,62,19.35,20.97,Pont-de-Buis-lès-Quimerch
2B,2B293,386,267,266,184,18,69.17,69.17,6.77,Pont-de-Buis-lès-Quimerch
2B,2B296,138,99,92,5,26,71.74,5.43,28.26,Pont-de-Buis-lès-Quimerch
2B,2B297,60,33,32,5,10,55,15.63,31.25,Pont-de-Buis-lès-Quimerch
2B,2B298,1505,1064,1031,182,235,70.7,17.65,22.79,Pont-de-Buis-lès-Quimerch
2B,2B299,151,109,103,11,33,72.19,10.68,32.04,Pont-de-Buis-lès-Quimerch
2B,2B301,83,57,57,9,15,68.67,15.79,26.32,Pont-de-Buis-lès-Quimerch
2B,2B302,106,78,76,24,15,73.58,31.58,19.74,Pont-de-Buis-lès-Quimerch
